12-24 14:01:33 | Blue-H vs Red-H
12-24 14:01:33 | Directory: results\exp_2_approachB\exp_2_approachB.log
12-24 14:01:57 | Episode:    73 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.082 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.121 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  73.000
12-24 14:01:57 | Episode:    74 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.301 | timestep:  84.000 | blue catch:   0.000 | blue attack:   4.067 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  71.000
12-24 14:01:57 | Episode:    75 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   6.746 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.230 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  75.000
12-24 14:01:57 | Episode:    76 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.546 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.097 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  77.000
12-24 14:01:57 | Episode:    77 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.888 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.458 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  74.000
12-24 14:01:57 | Episode:    78 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.651 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.968 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  76.000
12-24 14:01:57 | Episode:    79 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   6.745 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.230 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  80.000
12-24 14:01:57 | Episode:    80 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  19.469 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.179 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  79.000
12-24 14:01:57 | Episode:    81 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  20.805 | timestep:  85.000 | blue catch:   1.000 | blue attack:   2.870 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  78.000
12-24 14:02:00 | Episode:    82 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.442 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.695 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  82.000
12-24 14:02:00 | Episode:    83 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.293 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.929 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  83.000
12-24 14:02:00 | Episode:    84 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.178 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.985 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  81.000
12-24 14:02:00 | Episode:    85 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.366 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  86.000
12-24 14:02:00 | Episode:    86 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.171 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.314 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  84.000
12-24 14:02:00 | Episode:    87 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.635 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.823 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  87.000
12-24 14:02:00 | Episode:    88 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  20.102 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.601 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  85.000
12-24 14:02:00 | Episode:    89 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   6.214 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.876 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  89.000
12-24 14:02:00 | Episode:    90 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  19.107 | timestep:  84.000 | blue catch:   1.000 | blue attack:   1.938 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  88.000
12-24 14:02:00 | Episode:    91 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.339 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.293 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  90.000
12-24 14:02:03 | Episode:    92 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  17.016 | timestep:  83.000 | blue catch:   1.000 | blue attack:   2.411 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  91.000
12-24 14:02:03 | Episode:    93 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.901 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.001 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  92.000
12-24 14:02:03 | Episode:    94 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  15.919 | timestep:  83.000 | blue catch:   1.000 | blue attack:   1.679 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  93.000
12-24 14:02:03 | Episode:    95 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.925 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.684 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  94.000
12-24 14:02:03 | Episode:    96 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.204 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.203 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  96.000
12-24 14:02:03 | Episode:    97 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.611 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.474 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  97.000
12-24 14:02:03 | Episode:    98 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.136 | timestep:  84.000 | blue catch:   1.000 | blue attack:   1.957 | blue island dead:   4.000 | blue reward feedback:   0.000 | seed:  95.000
12-24 14:02:03 | Episode:    99 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.377 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.118 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  98.000
12-24 14:02:03 | Episode:   100 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.500 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.200 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  99.000
12-24 14:02:03 | Episode:   101 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.049 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.233 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed: 100.000
12-24 14:02:06 | Episode:   102 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.491 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.061 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed: 101.000
12-24 14:02:06 | Episode:   103 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.206 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.871 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed: 102.000
12-24 14:02:06 | Episode:   104 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.358 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.305 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed: 103.000
12-24 14:02:06 | Episode:   105 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.093 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.795 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed: 104.000
12-24 14:02:06 | Episode:   106 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  26.386 | timestep:  84.000 | blue catch:   2.000 | blue attack:   2.791 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 105.000
12-24 14:02:06 | Episode:   107 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.378 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.119 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed: 106.000
12-24 14:02:06 | Episode:   108 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.214 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.676 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 107.000
12-24 14:02:06 | Episode:   109 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   1.481 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.054 | blue island dead:   4.000 | blue reward feedback:   0.000 | seed: 108.000
12-24 14:02:06 | Episode:   110 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.586 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.457 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 109.000
12-24 14:02:06 | Episode:   111 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  16.821 | timestep:  83.000 | blue catch:   1.000 | blue attack:   2.281 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed: 110.000
